title,genres,year,clean_title,source
Cocaine Cowboys: The Kings of Miami,"crime tv shows, docuseries",2021,cocaine cowboys the kings of miami,Netflix
Control Z,"international tv shows, spanish-language tv shows, tv dramas",2021,control z,Netflix
Cooking With Paris,reality tv,2021,cooking with paris,Netflix
Autumn's Concerto,"international tv shows, romantic tv shows, tv dramas",2009,autumns concerto,Netflix
Heavy,"dramas, independent movies, romantic movies",1995,heavy,Netflix
Ije: The Journey,"dramas, international movies",2010,ije the journey,Netflix
Office Girls,"international tv shows, romantic tv shows, tv comedies",2011,office girls,Netflix
Pray Away,"documentaries, lgbtq movies",2021,pray away,Netflix
Shiny_Flakes: The Teenage Drug Lord,"documentaries, international movies",2021,shinyflakes the teenage drug lord,Netflix
The Prince Who Turns into a Frog,"international tv shows, romantic tv shows, tv comedies",2005,the prince who turns into a frog,Netflix
Top Secret UFO Projects: Declassified,docuseries,2021,top secret ufo projects declassified,Netflix
Two Fathers,"international tv shows, romantic tv shows, tv comedies",2013,two fathers,Netflix
You're My Destiny,"international tv shows, romantic tv shows, tv comedies",2008,youre my destiny,Netflix
30 Rock,tv comedies,2012,30 rock,Netflix
44 Cats,kids' tv,2020,44 cats,Netflix
Beethoven,"children & family movies, comedies",1992,beethoven,Netflix
Beethoven's 2nd,"children & family movies, comedies",1993,beethovens 2nd,Netflix
Beowulf,"action & adventure, sci-fi & fantasy",2007,beowulf,Netflix
Boyka: Undisputed,action & adventure,2016,boyka undisputed,Netflix
Catch Me If You Can,dramas,2002,catch me if you can,Netflix
Cloudy with a Chance of Meatballs,"children & family movies, comedies, sci-fi & fantasy",2009,cloudy with a chance of meatballs,Netflix
Darwin’s Game,"anime series, international tv shows, tv thrillers",2020,darwins game,Netflix
Deep Blue Sea,"action & adventure, horror movies, sci-fi & fantasy",1999,deep blue sea,Netflix
Ferris Bueller's Day Off,"classic movies, comedies, cult movies",1986,ferris buellers day off,Netflix
Five Feet Apart,"dramas, romantic movies",2019,five feet apart,Netflix
Freedomland,"dramas, thrillers",2006,freedomland,Netflix
Friday Night Lights,"tv dramas, teen tv shows",2010,friday night lights,Netflix
Good Luck Chuck,"comedies, romantic movies",2007,good luck chuck,Netflix
Hunter X Hunter (2011),"anime series, international tv shows",2014,hunter x hunter,Netflix
I missed you: Director's Cut,"dramas, independent movies, international movies",2021,i missed you directors cut,Netflix
Inception,"action & adventure, sci-fi & fantasy, thrillers",2010,inception,Netflix
Magnolia,"dramas, independent movies",1999,magnolia,Netflix
Major Payne,comedies,1995,major payne,Netflix
My Girl,dramas,1991,my girl,Netflix
My Girl 2,"children & family movies, comedies, dramas",1994,my girl 2,Netflix
Open Season: Scared Silly,"children & family movies, comedies",2015,open season scared silly,Netflix
Pineapple Express,"action & adventure, comedies",2008,pineapple express,Netflix
Planet 51,"children & family movies, comedies, sci-fi & fantasy",2009,planet 51,Netflix
Poms,comedies,2019,poms,Netflix
Seabiscuit,"dramas, sports movies",2003,seabiscuit,Netflix
Space Cowboys,"action & adventure, dramas, sci-fi & fantasy",2000,space cowboys,Netflix
Team America: World Police,"action & adventure, comedies, cult movies",2004,team america world police,Netflix
The Edge of Seventeen,"comedies, dramas",2016,the edge of seventeen,Netflix
The Haunting in Connecticut 2: Ghosts of Georgia,horror movies,2013,the haunting in connecticut 2 ghosts of georgia,Netflix
The Last Boy Scout,"action & adventure, comedies",1991,the last boy scout,Netflix
The Lincoln Lawyer,"dramas, thrillers",2011,the lincoln lawyer,Netflix
The Losers,action & adventure,2010,the losers,Netflix
The Machinist,"dramas, independent movies, thrillers",2004,the machinist,Netflix
The Net,thrillers,1995,the net,Netflix
The Original Kings of Comedy,stand-up comedy,2000,the original kings of comedy,Netflix
Valentine's Day,"comedies, romantic movies",2010,valentines day,Netflix
Charmed,"tv dramas, tv sci-fi & fantasy",2021,charmed,Netflix
The Lost Café,"dramas, international movies",2018,the lost caf,Netflix
The Vault,"action & adventure, international movies, thrillers",2021,the vault,Netflix
Centaurworld,"kids' tv, tv comedies",2021,centaurworld,Netflix
Eyes of a Thief,"dramas, independent movies, international movies",2014,eyes of a thief,Netflix
Glow Up,"british tv shows, international tv shows, reality tv",2021,glow up,Netflix
I'm Glad I Did,"documentaries, international movies",2020,im glad i did,Netflix
Khawatir,"international tv shows, reality tv",2009,khawatir,Netflix
Myth & Mogul: John DeLorean,"british tv shows, crime tv shows, docuseries",2021,myth  mogul john delorean,Netflix
Outer Banks,"tv action & adventure, tv dramas, teen tv shows",2021,outer banks,Netflix
Pomegranates and Myrrh,"dramas, independent movies, international movies",2009,pomegranates and myrrh,Netflix
Rurouni Kenshin: The Beginning,"action & adventure, international movies",2021,rurouni kenshin the beginning,Netflix
The Last Mercenary,"action & adventure, comedies, international movies",2021,the last mercenary,Netflix
Flower Girl,"comedies, international movies, romantic movies",2013,flower girl,Netflix
Resort to Love,"comedies, romantic movies",2021,resort to love,Netflix
Transformers: War for Cybertron: Kingdom,anime series,2021,transformers war for cybertron kingdom,Netflix
Bartkowiak,"action & adventure, international movies",2021,bartkowiak,Netflix
Fantastic Fungi,documentaries,2019,fantastic fungi,Netflix
Tattoo Redo,reality tv,2021,tattoo redo,Netflix
The Flash,"crime tv shows, tv action & adventure, tv sci-fi & fantasy",2021,the flash,Netflix
The Snitch Cartel: Origins,"crime tv shows, international tv shows, spanish-language tv shows",2021,the snitch cartel origins,Netflix
All American,"tv dramas, teen tv shows",2021,all american,Netflix
Department,"action & adventure, international movies",2012,department,Netflix
Hostage House,thrillers,2021,hostage house,Netflix
How to Sell Drugs Online (Fast),"crime tv shows, international tv shows, tv comedies",2021,how to sell drugs online fast,Netflix
Mighty Express,kids' tv,2021,mighty express,Netflix
Mimi,"comedies, dramas, international movies",2021,mimi,Netflix
Plastic Cup Boyz: Laughing My Mask Off!,"stand-up comedy & talk shows, tv comedies",2021,plastic cup boyz laughing my mask off,Netflix
The Operative,"dramas, international movies, thrillers",2019,the operative,Netflix
The Walking Dead,"classic & cult tv, tv action & adventure, tv dramas",2019,the walking dead,Netflix
Wynonna Earp,"international tv shows, tv action & adventure, tv dramas",2020,wynonna earp,Netflix
Django Unchained,"action & adventure, dramas",2012,django unchained,Netflix
A Second Chance:  Rivals!,"children & family movies, sports movies",2021,a second chance  rivals,Netflix
African America,"dramas, independent movies, international movies",2021,african america,Netflix
Bankrolled,"comedies, international movies",2021,bankrolled,Netflix
Blood Red Sky,"action & adventure, horror movies, international movies",2021,blood red sky,Netflix
Feels Like Ishq,"international tv shows, romantic tv shows, tv comedies",2021,feels like ishq,Netflix
Kingdom: Ashin of the North,"horror movies, international movies, thrillers",2021,kingdom ashin of the north,Netflix
Masters of the Universe: Revelation,"tv action & adventure, tv sci-fi & fantasy",2021,masters of the universe revelation,Netflix
Revelations: The Masters of the Universe: Revelation Aftershow,"anime series, stand-up comedy & talk shows",2021,revelations the masters of the universe revelation aftershow,Netflix
Sky Rojo,"international tv shows, spanish-language tv shows, tv action & adventure",2021,sky rojo,Netflix
The Last Letter From Your Lover,"dramas, romantic movies",2021,the last letter from your lover,Netflix
The Movies That Made Us,docuseries,2021,the movies that made us,Netflix
9to5: The Story of a Movement,documentaries,2021,9to5 the story of a movement,Netflix
Chhota Bheem - Dinosaur World,children & family movies,2015,chhota bheem  dinosaur world,Netflix
Chhota Bheem - Neeli Pahaadi,children & family movies,2013,chhota bheem  neeli pahaadi,Netflix
Chhota Bheem & Ganesh,children & family movies,2009,chhota bheem  ganesh,Netflix
Chhota Bheem & Krishna: Mayanagari,children & family movies,2011,chhota bheem  krishna mayanagari,Netflix
Chhota Bheem & Krishna: Pataliputra- City of the Dead,children & family movies,2010,chhota bheem  krishna pataliputra city of the dead,Netflix
Chhota Bheem And The Broken Amulet,children & family movies,2013,chhota bheem and the broken amulet,Netflix
Chhota Bheem And The Crown of Valhalla,children & family movies,2013,chhota bheem and the crown of valhalla,Netflix
Chhota Bheem and the Incan Adventure,children & family movies,2013,chhota bheem and the incan adventure,Netflix
Chhota Bheem and The ShiNobi Secret,children & family movies,2013,chhota bheem and the shinobi secret,Netflix
Chhota Bheem Aur Hanuman,children & family movies,2012,chhota bheem aur hanuman,Netflix
Chhota Bheem aur Krishna,children & family movies,2009,chhota bheem aur krishna,Netflix
Chhota Bheem aur Krishna vs Zimbara,children & family movies,2013,chhota bheem aur krishna vs zimbara,Netflix
Chhota Bheem in African Safari,children & family movies,2015,chhota bheem in african safari,Netflix
Chhota Bheem Ka Roosi Romanch,children & family movies,2019,chhota bheem ka roosi romanch,Netflix
Chhota Bheem: Bheem vs Aliens,"children & family movies, sports movies",2010,chhota bheem bheem vs aliens,Netflix
Chhota Bheem: Dholakpur to Kathmandu,children & family movies,2012,chhota bheem dholakpur to kathmandu,Netflix
Chhota Bheem: Dus Pe Dus,children & family movies,2014,chhota bheem dus pe dus,Netflix
Chhota Bheem: Journey to Petra,children & family movies,2011,chhota bheem journey to petra,Netflix
Chhota Bheem: Master of Shaolin,children & family movies,2011,chhota bheem master of shaolin,Netflix
Chhota Bheem: The Rise of Kirmada,children & family movies,2012,chhota bheem the rise of kirmada,Netflix
Chicago Med,tv dramas,2019,chicago med,Netflix
Cousins,dramas,2021,cousins,Netflix
Wannabe Courageous,"comedies, international movies",2019,wannabe courageous,Netflix
Words Bubble Up Like Soda Pop,"anime features, children & family movies, international movies",2021,words bubble up like soda pop,Netflix
Sanitation Day,"dramas, international movies, thrillers",2020,sanitation day,Netflix
Sexy Beasts,"british tv shows, international tv shows, reality tv",2021,sexy beasts,Netflix
Too Hot to Handle: Brazil,"international tv shows, reality tv, romantic tv shows",2021,too hot to handle brazil,Netflix
Trollhunters: Rise of the Titans,children & family movies,2021,trollhunters rise of the titans,Netflix
Milkwater,"comedies, dramas, independent movies",2020,milkwater,Netflix
Okupas,"classic & cult tv, crime tv shows, international tv shows",2020,okupas,Netflix
Touch Your Heart,"crime tv shows, international tv shows, romantic tv shows",2019,touch your heart,Netflix
The Tambour of Retribution,"dramas, international movies, romantic movies",2021,the tambour of retribution,Netflix
Cosmic Sin,action & adventure,2021,cosmic sin,Netflix
2 Weeks in Lagos,"dramas, international movies, romantic movies",2020,2 weeks in lagos,Netflix
Deep,"dramas, international movies, thrillers",2021,deep,Netflix
Explained,"docuseries, science & nature tv",2021,explained,Netflix
Fear Street Part 3: 1666,"horror movies, lgbtq movies",2021,fear street part 3 1666,Netflix
Johnny Test,"kids' tv, tv comedies",2021,johnny test,Netflix
La ley de Herodes,"comedies, international movies",1999,la ley de herodes,Netflix
Naomi Osaka,docuseries,2021,naomi osaka,Netflix
The Beguiled,"dramas, independent movies, thrillers",2017,the beguiled,Netflix
The Book of Henry,dramas,2017,the book of henry,Netflix
The Twilight Saga: Breaking Dawn: Part 1,"dramas, romantic movies",2011,the twilight saga breaking dawn part 1,Netflix
The Twilight Saga: Breaking Dawn: Part 2,"dramas, romantic movies",2012,the twilight saga breaking dawn part 2,Netflix
The Twilight Saga: Eclipse,"dramas, romantic movies",2010,the twilight saga eclipse,Netflix
The Twilight Saga: New Moon,"dramas, romantic movies",2009,the twilight saga new moon,Netflix
Twilight,"action & adventure, dramas, romantic movies",2008,twilight,Netflix
A Perfect Fit,"comedies, dramas, international movies",2021,a perfect fit,Netflix
BEASTARS,"anime series, international tv shows",2021,beastars,Netflix
Cheech & Chong's Still Smokin,"comedies, cult movies",1983,cheech  chongs still smokin,Netflix
Emicida: AmarElo - Live in São Paulo,"documentaries, international movies, music & musicals",2021,emicida amarelo  live in so paulo,Netflix
Her Private Life,"international tv shows, romantic tv shows, tv comedies",2019,her private life,Netflix
Lift Like a Girl,"documentaries, international movies, sports movies",2021,lift like a girl,Netflix
My Amanda,"dramas, international movies, romantic movies",2021,my amanda,Netflix
Never Have I Ever,"tv comedies, tv dramas, teen tv shows",2021,never have i ever,Netflix
Surf's Up,"children & family movies, comedies, sports movies",2007,surfs up,Netflix
The Unknown Saint,"comedies, dramas, independent movies",2019,the unknown saint,Netflix
This Changes Everything,documentaries,2019,this changes everything,Netflix
A Classic Horror Story,"horror movies, international movies",2021,a classic horror story,Netflix
Gunpowder Milkshake,"action & adventure, comedies",2021,gunpowder milkshake,Netflix
Heist,"crime tv shows, docuseries",2021,heist,Netflix
My Unorthodox Life,reality tv,2021,my unorthodox life,Netflix
Private Network: Who Killed Manuel Buendía?,"documentaries, international movies",2021,private network who killed manuel buenda,Netflix
The Guide to the Perfect Family,"comedies, dramas, international movies",2021,the guide to the perfect family,Netflix
American Woman,"dramas, independent movies",2019,american woman,Netflix
Bridgerton - The Afterparty,movies,2021,bridgerton  the afterparty,Netflix
Day of Destiny,"children & family movies, dramas, international movies",2021,day of destiny,Netflix
Ridley Jones,kids' tv,2021,ridley jones,Netflix
Born to Play,"documentaries, sports movies",2020,born to play,Netflix
American Ultra,"action & adventure, comedies",2015,american ultra,Netflix
The Stand-Up,stand-up comedy,2019,the standup,Netflix
