title,genres,year,clean_title,source
Brand New Cherry Flavor,"tv dramas, tv horror, tv mysteries",2021,brand new cherry flavor,Netflix
Fast & Furious Spy Racers,kids' tv,2021,fast  furious spy racers,Netflix
Gone for Good,"crime tv shows, international tv shows, tv dramas",2021,gone for good,Netflix
Grace and Frankie,"tv comedies, tv dramas",2021,grace and frankie,Netflix
The Kingdom,"crime tv shows, international tv shows, spanish-language tv shows",2021,the kingdom,Netflix
Valeria,"international tv shows, romantic tv shows, spanish-language tv shows",2021,valeria,Netflix
AlRawabi School for Girls,"international tv shows, tv dramas, teen tv shows",2021,alrawabi school for girls,Netflix
Lokillo: Nothing's the Same,stand-up comedy,2021,lokillo nothings the same,Netflix
Monster Hunter: Legends of the Guild,"action & adventure, anime features, children & family movies",2021,monster hunter legends of the guild,Netflix
Bake Squad,reality tv,2021,bake squad,Netflix
Brother Jekwu,"comedies, international movies",2016,brother jekwu,Netflix
La diosa del asfalto,"dramas, independent movies, international movies",2020,la diosa del asfalto,Netflix
Misha and the Wolves,"documentaries, international movies",2021,misha and the wolves,Netflix
The Kissing Booth 3,"comedies, romantic movies",2021,the kissing booth 3,Netflix
The Railway Man,"dramas, international movies",2013,the railway man,Netflix
Gabby's Dollhouse,kids' tv,2021,gabbys dollhouse,Netflix
I Need Romance,"international tv shows, romantic tv shows, tv comedies",2021,i need romance,Netflix
Las muñecas de la mafia,"crime tv shows, international tv shows, spanish-language tv shows",2018,las muecas de la mafia,Netflix
The Crowned Clown,"international tv shows, romantic tv shows, tv dramas",2019,the crowned clown,Netflix
Untold: Malice at the Palace,"documentaries, sports movies",2021,untold malice at the palace,Netflix
SHAMAN KING,"anime series, international tv shows",2021,shaman king,Netflix
Quartet,"comedies, dramas, independent movies",2012,quartet,Netflix
Slay,"comedies, international movies, romantic movies",2021,slay,Netflix
Takizawa Kabuki ZERO 2020 The Movie,"international movies, music & musicals",2020,takizawa kabuki zero 2020 the movie,Netflix
The Paper Tigers,"action & adventure, comedies",2021,the paper tigers,Netflix
Hit & Run,"tv action & adventure, tv dramas, tv mysteries",2021,hit  run,Netflix
Navarasa,tv shows,2021,navarasa,Netflix
Quam's Money,"comedies, dramas, international movies",2020,quams money,Netflix
The Swarm,"horror movies, independent movies, international movies",2021,the swarm,Netflix
Vivo,"children & family movies, music & musicals",2021,vivo,Netflix
Chennai Express,"action & adventure, comedies, international movies",2013,chennai express,Netflix
City of God: 10 Years Later,"documentaries, international movies",2013,city of god 10 years later,Netflix
Esperando la carroza,"comedies, cult movies, international movies",1985,esperando la carroza,Netflix
Lady Boss: The Jackie Collins Story,documentaries,2021,lady boss the jackie collins story,Netflix
Tango Feroz,"classic movies, dramas, international movies",1993,tango feroz,Netflix
'76,"dramas, international movies",2016,76,Netflix
Aftermath,horror movies,2021,aftermath,Netflix
American Masters: Inventing David Geffen,movies,2012,american masters inventing david geffen,Netflix
Car Masters: Rust to Riches,reality tv,2021,car masters rust to riches,Netflix
